Wavelength,40470 sh-1,40470 sh-2,40470 sh-3,40470 sh-4
405.369888,0.07665389,0.07217419,0.07512107,0.08518022
408.561553,0.07052194,0.06696298,0.07146379,0.08018666
411.753217,0.06487685,0.06290472,0.06625283,0.07484028
414.944882,0.06211132,0.060143765,0.063277565,0.07117371
418.136547,0.05950026,0.057870902,0.061017964,0.06894629
421.328212,0.056788877,0.05542804,0.058576122,0.066102296
424.519877,0.055184316,0.05419775,0.057247642,0.06482076
427.711541,0.05321639,0.05212972,0.05564035,0.06300898
430.903206,0.052355453,0.05170917,0.05471354,0.062257998
434.094871,0.051070344,0.050588407,0.053652734,0.061317176
437.286536,0.050524764,0.049986284,0.053248458,0.060775377
440.478201,0.049875304,0.04991785,0.053061277,0.06103978
443.669865,0.04973067,0.049768116,0.05321031,0.061049696
446.86153,0.049101017,0.049290564,0.052722275,0.060703456
450.053195,0.048904218,0.04940577,0.052921675,0.060943447
453.24486,0.048491657,0.048922963,0.052339006,0.060553405
456.436524,0.04805431,0.048727814,0.052557953,0.060745105
459.628189,0.04774252,0.048525974,0.0523282,0.06056678
462.819854,0.04757591,0.048683684,0.052502263,0.060746916
466.011519,0.047487937,0.048436727,0.052543126,0.060969263
469.203184,0.047135156,0.048427463,0.05242347,0.061159853
472.394848,0.04688501,0.048179947,0.052238252,0.061083242
475.586513,0.046805616,0.048232324,0.052301686,0.06115746
478.778178,0.046822965,0.048478633,0.05268968,0.06184878
481.969843,0.046811845,0.048446313,0.05276627,0.061968427
485.161507,0.04692371,0.048605714,0.05303621,0.062378544
488.353172,0.047141783,0.048997015,0.053472582,0.063140996
491.544837,0.04710731,0.04914255,0.053741977,0.06359873
494.736502,0.047237888,0.049383517,0.054196086,0.0643116
497.928167,0.047496974,0.049680565,0.054534234,0.06496201
501.119831,0.047593106,0.049940523,0.054987125,0.065630585
504.311496,0.047713216,0.050190005,0.05541565,0.06638618
507.503161,0.04775368,0.050419353,0.055749364,0.06686132
510.694826,0.04800292,0.050827704,0.056261484,0.06777943
513.886491,0.04788653,0.05083128,0.056438822,0.068280146
517.078155,0.048241027,0.051287256,0.05712376,0.06927641
520.26982,0.04856743,0.051773805,0.057760358,0.07024858
523.461485,0.04880029,0.052153733,0.058369555,0.07117736
526.65315,0.04909108,0.052661687,0.059037924,0.07235032
529.844814,0.049474232,0.05321716,0.059916276,0.07371561
533.036479,0.050207205,0.054145087,0.061136644,0.07547644
536.228144,0.0507701,0.054997224,0.062333204,0.07729464
539.419809,0.05154607,0.05605179,0.06377171,0.07952128
542.611474,0.0523385,0.057103325,0.065265514,0.08195657
545.803138,0.053245287,0.058524843,0.067245394,0.08499562
548.994803,0.054109007,0.05981426,0.069172084,0.08792861
552.186468,0.055287126,0.06145169,0.07140446,0.09143214
555.378133,0.056666914,0.06337701,0.0741291,0.09569829
558.569797,0.05832725,0.06560509,0.07728294,0.10039424
561.761462,0.060061436,0.0680778,0.08068932,0.10559639
564.953127,0.06220642,0.07102972,0.08480651,0.11166625
568.144792,0.064150535,0.07388441,0.08889306,0.117966026
571.336457,0.06640928,0.07715454,0.09354078,0.1251583
574.528121,0.06878281,0.08056515,0.09849337,0.13286993
577.719786,0.071427986,0.08428511,0.10376862,0.14117654
580.911451,0.07385161,0.08791985,0.108991824,0.14947656
584.103116,0.07609671,0.091211826,0.11392916,0.15759009
587.294781,0.078645974,0.094885215,0.11939257,0.16641308
590.486445,0.08098823,0.098420225,0.12471776,0.17505607
593.67811,0.08350413,0.10212366,0.13036534,0.18405475
596.869775,0.08562852,0.1053994,0.13542615,0.19221564
600.06144,0.087757125,0.1086539,0.14045951,0.20026276
603.253104,0.089740105,0.11163787,0.14528571,0.20806977
606.444769,0.09139784,0.11435183,0.14968099,0.21515845
609.636434,0.09334522,0.117456354,0.15457879,0.22321202
612.828099,0.094817534,0.12001158,0.15863459,0.23017584
616.019764,0.09634704,0.12248821,0.16253866,0.23699331
619.211428,0.097856395,0.12493032,0.16643576,0.24381635
622.403093,0.09880288,0.12676242,0.1694091,0.24959436
625.594758,0.09984237,0.12864597,0.17241198,0.25570804
628.786423,0.100780584,0.13037336,0.17498314,0.26144668
631.978087,0.102017716,0.13250652,0.1782878,0.26757115
635.169752,0.10311121,0.1343798,0.18111706,0.27301732
638.361417,0.10392347,0.1358749,0.18359321,0.27756733
641.553082,0.10472576,0.13743176,0.18621084,0.28267556
644.744747,0.105308145,0.13861308,0.1882829,0.28715608
647.936411,0.10633089,0.14043213,0.19107312,0.2925182
651.128076,0.107474096,0.14233124,0.19385628,0.29763466
654.319741,0.1081293,0.14368443,0.19622476,0.3019405
657.511406,0.10899274,0.14518435,0.19853869,0.30629942
660.70307,0.10968532,0.14651342,0.2006975,0.31015202
663.894735,0.11052997,0.14792988,0.20330192,0.31275365
667.0864,0.11132009,0.14932017,0.20571066,0.3180539
670.278065,0.11184729,0.1503039,0.20779732,0.32206106
673.46973,0.11276169,0.1519425,0.21001387,0.32685822
676.661394,0.11382116,0.15382527,0.21319446,0.33224037
679.853059,0.11439378,0.15500371,0.21518613,0.33585203
683.044724,0.114926904,0.15618978,0.21721601,0.33969846
686.236389,0.11578862,0.15776828,0.21970265,0.34469342
689.428054,0.11676555,0.1595988,0.22290474,0.3504638
692.619718,0.11731837,0.16096954,0.22542597,0.3551975
695.811383,0.11809453,0.16243486,0.22776343,0.35983747
699.003048,0.11898069,0.16405049,0.23085317,0.36505222
702.194713,0.11979253,0.16555823,0.23342611,0.36985925
705.386377,0.12028249,0.16671011,0.23555365,0.3738556
708.578042,0.12119836,0.16830389,0.23821431,0.3782442
711.769707,0.121989995,0.16971678,0.2406903,0.3826275
714.961372,0.12270303,0.17110479,0.24295262,0.3866285
718.153037,0.12308268,0.17197543,0.24431837,0.38952002
721.344701,0.12406686,0.17375411,0.2474179,0.39469734
724.536366,0.12474853,0.17500147,0.24966446,0.39853424
727.728031,0.12566353,0.17663014,0.25241143,0.40285388
730.919696,0.12603138,0.17741618,0.2538633,0.40541866
734.11136,0.1262255,0.17802963,0.25528193,0.40777788
737.303025,0.12650502,0.17865619,0.25641173,0.40973854
740.49469,0.12700303,0.17974682,0.25822824,0.4126965
743.686355,0.12724276,0.18024026,0.2595408,0.4147865
746.87802,0.12739198,0.18086986,0.26063836,0.41655278
750.069684,0.12744871,0.18117125,0.26129293,0.4176978
753.261349,0.12760116,0.1817488,0.26204416,0.4191737
756.453014,0.1272671,0.18163581,0.26170492,0.41879544
759.644679,0.12766087,0.1824357,0.26277274,0.42058134
762.836344,0.12770711,0.18272306,0.26311347,0.42090315
766.028008,0.1277547,0.1830725,0.2633946,0.4213009
769.219673,0.12768473,0.18319057,0.26387468,0.42185888
772.411338,0.12723672,0.18266842,0.26305106,0.42053396
775.603003,0.12733495,0.18294747,0.26347095,0.4211159
778.794667,0.12693341,0.18241939,0.26280683,0.41990304
781.986332,0.12692486,0.18256938,0.26332095,0.4206343
785.177997,0.12680712,0.18251798,0.26368126,0.42095828
788.369662,0.12634766,0.18203983,0.2634675,0.42028084
791.561327,0.12569503,0.1812476,0.2626992,0.4188153
794.752991,0.12633368,0.18242745,0.26445082,0.42141926
797.944656,0.12597248,0.18212728,0.26435444,0.4207155
801.136321,0.12602468,0.18245454,0.2651876,0.42087683
804.327986,0.12606409,0.1827094,0.26577657,0.42134967
807.51965,0.12524162,0.18158616,0.2645154,0.41881737
810.711315,0.1252624,0.18180598,0.26497152,0.41898483
813.90298,0.12552051,0.18232416,0.26583883,0.41949663
817.094645,0.12467821,0.18139575,0.26451334,0.41681644
820.28631,0.124902315,0.18169542,0.26504382,0.41723743
823.477974,0.12469382,0.18144816,0.26479962,0.41610798
826.669639,0.12403812,0.18061873,0.26369572,0.41428035
829.861304,0.12433273,0.18108758,0.26442575,0.41472948
833.052969,0.12394913,0.18078509,0.26394546,0.41402578
836.244634,0.12410505,0.18121171,0.2645925,0.41478038
839.436298,0.123807296,0.18087997,0.26425084,0.41400576
842.627963,0.123630546,0.18098511,0.26432964,0.41402513
845.819628,0.12347622,0.1807395,0.2640314,0.41389894
849.011293,0.12384784,0.18143,0.26495862,0.41559458
852.202957,0.123964146,0.18186626,0.26563212,0.41705343
855.394622,0.12393861,0.1820004,0.26589474,0.41805303
858.586287,0.12416932,0.18248063,0.26660475,0.41949812
861.777952,0.12415562,0.18265003,0.26716557,0.42061102
864.969617,0.124159075,0.1829082,0.2676606,0.42163152
868.161281,0.12525287,0.18465616,0.2702387,0.42591745
871.352946,0.12533751,0.18501896,0.27087104,0.42711928
874.544611,0.1257635,0.18573372,0.27219912,0.42932534
877.736276,0.12590577,0.18602218,0.2729584,0.43030536
880.92794,0.1264822,0.1872851,0.27503076,0.43359014
884.119605,0.12661912,0.18744649,0.27550846,0.43445
887.31127,0.12740129,0.18863976,0.27752033,0.43770212
890.502935,0.12724328,0.18853565,0.27748922,0.43797988
893.6946,0.12717761,0.1884109,0.27757275,0.43841842
896.886264,0.12732442,0.1888364,0.27819422,0.43984374
900.077929,0.12677003,0.18808748,0.27740636,0.43903422
903.269594,0.12695427,0.18847322,0.27815154,0.440692
906.461259,0.1266562,0.18803665,0.277817,0.4406237
909.652923,0.12740548,0.18973735,0.28039062,0.44494948
912.844588,0.12833132,0.19099712,0.2823552,0.4482683
916.036253,0.12856552,0.19146962,0.28331214,0.450233
919.227918,0.1290306,0.19238517,0.28473395,0.45263693
922.419583,0.12960899,0.19338521,0.28635526,0.45574012
925.611247,0.1297103,0.19372812,0.2871009,0.45711035
928.802912,0.13056847,0.19484551,0.28892606,0.46064746
931.994577,0.13083921,0.19539918,0.2898398,0.46276668
935.186242,0.13199778,0.19715439,0.2926161,0.46740106
938.377907,0.13258855,0.1982648,0.29467192,0.47070637
941.569571,0.13286214,0.19872037,0.2953154,0.47306216
944.761236,0.13459648,0.20131876,0.2993767,0.47931346
947.952901,0.1346525,0.20173703,0.3002161,0.48173568
951.144566,0.13579585,0.20353577,0.3029329,0.48623043
954.33623,0.13657397,0.20452757,0.3044522,0.48907024
957.527895,0.1373889,0.20581037,0.30669135,0.49326482
960.71956,0.13815959,0.20695488,0.3083303,0.49615034
963.911225,0.13887991,0.20844167,0.31054607,0.50006634
967.10289,0.14004816,0.21016791,0.3133894,0.50501484
970.294554,0.1402123,0.21061563,0.31394118,0.50698847
973.486219,0.14166416,0.21290429,0.31774473,0.5132613
976.677884,0.14247307,0.2140023,0.31959355,0.5160572
979.869549,0.14340879,0.21522266,0.3214586,0.51849705
983.061213,0.14476858,0.21608627,0.32207283,0.5189754
986.252878,0.14404772,0.21575788,0.32155263,0.5184171
989.444543,0.14634284,0.21822582,0.3249375,0.523348
992.636208,0.14699292,0.21900493,0.3258197,0.5254994
995.827873,0.14683697,0.21894884,0.3255909,0.52538735
